Local_time,Unit,RunNumber,MWSEL
2026-01-06 18:38:00+00:00,U1,1,0.51
2026-01-06 18:39:00+00:00,U1,1,1.96
2026-01-06 18:40:00+00:00,U1,1,2.52
2026-01-06 18:41:00+00:00,U1,1,4.45
2026-01-06 18:42:00+00:00,U1,1,4.19
2026-01-06 18:43:00+00:00,U1,1,4.99
2026-01-06 18:44:00+00:00,U1,1,4.9
2026-01-06 18:45:00+00:00,U1,1,7.62
2026-01-06 18:46:00+00:00,U1,1,8.35
2026-01-06 18:47:00+00:00,U1,1,9.24
2026-01-06 18:48:00+00:00,U1,1,10.48
2026-01-06 18:49:00+00:00,U1,1,12.37
2026-01-06 18:50:00+00:00,U1,1,13.52
2026-01-06 18:51:00+00:00,U1,1,13.95
2026-01-06 18:52:00+00:00,U1,1,14.51
2026-01-06 18:53:00+00:00,U1,1,13.64
2026-01-06 18:54:00+00:00,U1,1,10.13
2026-01-06 18:55:00+00:00,U1,1,8.31
2026-01-06 18:56:00+00:00,U1,1,6.73
2026-01-06 18:57:00+00:00,U1,1,4.54
2026-01-06 18:58:00+00:00,U1,1,3.77
2026-01-06 18:59:00+00:00,U1,1,1.2
2026-01-06 19:00:00+00:00,U1,1,0.11
2026-01-06 19:01:00+00:00,U1,1,0.44
2026-01-06 19:02:00+00:00,U1,1,0.0
2026-01-06 19:03:00+00:00,U1,1,0.0
2026-01-06 19:04:00+00:00,U1,1,0.0
2026-01-06 19:05:00+00:00,U1,1,0.0
2026-01-06 19:06:00+00:00,U1,1,0.29
2026-01-06 19:07:00+00:00,U1,1,0.44
2026-01-06 19:08:00+00:00,U1,1,1.26
2026-01-06 19:09:00+00:00,U1,1,3.75
2026-01-06 19:10:00+00:00,U1,1,4.41
2026-01-06 19:11:00+00:00,U1,1,6.8
2026-01-06 19:12:00+00:00,U1,1,10.28
2026-01-06 19:13:00+00:00,U1,1,12.74
2026-01-06 19:14:00+00:00,U1,1,14.86
2026-01-06 19:15:00+00:00,U1,1,17.48
2026-01-06 19:16:00+00:00,U1,1,19.91
2026-01-06 19:17:00+00:00,U1,1,21.81
2026-01-06 19:18:00+00:00,U1,1,27.13
2026-01-06 19:19:00+00:00,U1,1,33.93
2026-01-06 19:20:00+00:00,U1,1,41.58
2026-01-06 19:21:00+00:00,U1,1,48.65
2026-01-06 19:22:00+00:00,U1,1,58.74
2026-01-06 19:23:00+00:00,U1,1,61.97
2026-01-06 19:24:00+00:00,U1,1,69.64
2026-01-06 19:25:00+00:00,U1,1,70.39
2026-01-06 19:26:00+00:00,U1,1,73.4
2026-01-06 19:27:00+00:00,U1,1,81.41
2026-01-06 19:28:00+00:00,U1,1,93.59
2026-01-06 19:29:00+00:00,U1,1,93.29
2026-01-06 19:30:00+00:00,U1,1,99.93
2026-01-06 19:31:00+00:00,U1,1,108.09
2026-01-06 19:32:00+00:00,U1,1,110.61
2026-01-06 19:33:00+00:00,U1,1,124.31
2026-01-06 19:34:00+00:00,U1,1,137.59
2026-01-06 19:35:00+00:00,U1,1,159.42
2026-01-06 19:36:00+00:00,U1,1,162.23
2026-01-06 19:37:00+00:00,U1,1,159.94
2026-01-06 19:38:00+00:00,U1,1,135.95
2026-01-06 19:39:00+00:00,U1,1,121.33
2026-01-06 19:40:00+00:00,U1,1,101.39
2026-01-06 19:41:00+00:00,U1,1,100.96
2026-01-06 19:42:00+00:00,U1,1,95.19
2026-01-06 19:43:00+00:00,U1,1,82.41
2026-01-06 19:44:00+00:00,U1,1,80.83
2026-01-06 19:45:00+00:00,U1,1,71.47
2026-01-06 19:46:00+00:00,U1,1,71.29
2026-01-06 19:47:00+00:00,U1,1,59.5
2026-01-06 19:48:00+00:00,U1,1,59.0
2026-01-06 19:49:00+00:00,U1,1,49.04
2026-01-06 19:50:00+00:00,U1,1,47.0
2026-01-06 19:51:00+00:00,U1,1,41.99
2026-01-06 19:52:00+00:00,U1,1,40.97
2026-01-06 19:53:00+00:00,U1,1,34.93
2026-01-06 19:54:00+00:00,U1,1,28.45
2026-01-06 19:55:00+00:00,U1,1,22.38
2026-01-06 19:56:00+00:00,U1,1,18.49
2026-01-06 19:57:00+00:00,U1,1,15.21
2026-01-06 19:58:00+00:00,U1,1,11.45
2026-01-06 19:59:00+00:00,U1,1,9.23
2026-01-06 20:00:00+00:00,U1,1,5.58
2026-01-06 20:01:00+00:00,U1,1,2.29
2026-01-06 20:02:00+00:00,U1,1,0.12
2026-01-06 20:03:00+00:00,U1,1,0.43
2026-01-06 20:04:00+00:00,U1,1,0.0
2026-01-06 20:05:00+00:00,U1,1,0.08
2026-01-06 20:06:00+00:00,U1,1,0.18
2026-01-06 20:07:00+00:00,U1,1,0.28
2026-01-06 20:08:00+00:00,U1,1,1.49
2026-01-06 20:09:00+00:00,U1,1,2.45
2026-01-06 20:10:00+00:00,U1,1,4.57
2026-01-06 20:11:00+00:00,U1,1,6.24
2026-01-06 20:12:00+00:00,U1,1,8.17
2026-01-06 20:13:00+00:00,U1,1,9.69
2026-01-06 20:14:00+00:00,U1,1,10.46
2026-01-06 20:15:00+00:00,U1,1,10.92
2026-01-06 20:16:00+00:00,U1,1,13.02
2026-01-06 20:17:00+00:00,U1,1,14.09
2026-01-06 20:18:00+00:00,U1,1,15.08
2026-01-06 20:19:00+00:00,U1,1,15.88
2026-01-06 20:20:00+00:00,U1,1,17.13
2026-01-06 20:21:00+00:00,U1,1,18.69
2026-01-06 20:22:00+00:00,U1,1,20.79
2026-01-06 20:23:00+00:00,U1,1,18.25
2026-01-06 20:24:00+00:00,U1,1,18.5
2026-01-06 20:25:00+00:00,U1,1,15.77
2026-01-06 20:26:00+00:00,U1,1,12.27
2026-01-06 20:27:00+00:00,U1,1,10.5
2026-01-06 20:28:00+00:00,U1,1,7.36
2026-01-06 20:29:00+00:00,U1,1,5.13
2026-01-06 20:30:00+00:00,U1,1,4.04
2026-01-06 20:31:00+00:00,U1,1,3.5
2026-01-06 20:32:00+00:00,U1,1,1.09
2026-01-06 20:33:00+00:00,U1,1,0.0
2026-01-06 20:34:00+00:00,U1,1,0.19
2026-01-06 20:35:00+00:00,U1,1,0.83
2026-01-06 20:36:00+00:00,U1,1,0.0
2026-01-06 20:37:00+00:00,U1,1,0.0
2026-01-06 20:38:00+00:00,U1,2,0.4
2026-01-06 20:39:00+00:00,U1,2,2.1
2026-01-06 20:40:00+00:00,U1,2,1.76
2026-01-06 20:41:00+00:00,U1,2,3.5
2026-01-06 20:42:00+00:00,U1,2,5.43
2026-01-06 20:43:00+00:00,U1,2,5.88
2026-01-06 20:44:00+00:00,U1,2,6.31
2026-01-06 20:45:00+00:00,U1,2,9.24
2026-01-06 20:46:00+00:00,U1,2,9.46
2026-01-06 20:47:00+00:00,U1,2,10.97
2026-01-06 20:48:00+00:00,U1,2,11.9
2026-01-06 20:49:00+00:00,U1,2,14.95
2026-01-06 20:50:00+00:00,U1,2,15.84
2026-01-06 20:51:00+00:00,U1,2,16.61
2026-01-06 20:52:00+00:00,U1,2,18.28
2026-01-06 20:53:00+00:00,U1,2,16.64
2026-01-06 20:54:00+00:00,U1,2,13.46
2026-01-06 20:55:00+00:00,U1,2,11.05
2026-01-06 20:56:00+00:00,U1,2,8.97
2026-01-06 20:57:00+00:00,U1,2,6.37
2026-01-06 20:58:00+00:00,U1,2,4.43
2026-01-06 20:59:00+00:00,U1,2,1.09
2026-01-06 21:00:00+00:00,U1,2,0.0
2026-01-06 21:01:00+00:00,U1,2,0.0
2026-01-06 21:02:00+00:00,U1,2,0.78
2026-01-06 21:03:00+00:00,U1,2,0.0
2026-01-06 21:04:00+00:00,U1,2,0.01
2026-01-06 21:05:00+00:00,U1,2,0.47
2026-01-06 21:06:00+00:00,U1,2,0.0
