Local_time,Unit,RunNumber,StartTime,MWSEL
2026-01-01 00:00:00+00:00,U1,1,2026-01-01 00:00:00+00:00,0.51
2026-01-01 00:01:00+00:00,U1,1,2026-01-01 00:00:00+00:00,1.96
2026-01-01 00:02:00+00:00,U1,1,2026-01-01 00:00:00+00:00,2.52
2026-01-01 00:03:00+00:00,U1,1,2026-01-01 00:00:00+00:00,4.45
2026-01-01 00:04:00+00:00,U1,1,2026-01-01 00:00:00+00:00,4.19
2026-01-01 00:05:00+00:00,U1,1,2026-01-01 00:00:00+00:00,4.99
2026-01-01 00:06:00+00:00,U1,1,2026-01-01 00:00:00+00:00,4.9
2026-01-01 00:07:00+00:00,U1,1,2026-01-01 00:00:00+00:00,7.62
2026-01-01 00:08:00+00:00,U1,1,2026-01-01 00:00:00+00:00,8.35
2026-01-01 00:09:00+00:00,U1,1,2026-01-01 00:00:00+00:00,9.24
2026-01-01 00:10:00+00:00,U1,1,2026-01-01 00:00:00+00:00,10.48
2026-01-01 00:11:00+00:00,U1,1,2026-01-01 00:00:00+00:00,12.37
2026-01-01 00:12:00+00:00,U1,1,2026-01-01 00:00:00+00:00,13.52
2026-01-01 00:13:00+00:00,U1,1,2026-01-01 00:00:00+00:00,13.95
2026-01-01 00:14:00+00:00,U1,1,2026-01-01 00:00:00+00:00,14.51
2026-01-01 00:15:00+00:00,U1,1,2026-01-01 00:00:00+00:00,13.64
2026-01-01 00:16:00+00:00,U1,1,2026-01-01 00:00:00+00:00,10.13
2026-01-01 00:17:00+00:00,U1,1,2026-01-01 00:00:00+00:00,8.31
2026-01-01 00:18:00+00:00,U1,1,2026-01-01 00:00:00+00:00,6.73
2026-01-01 00:19:00+00:00,U1,1,2026-01-01 00:00:00+00:00,4.54
2026-01-01 00:20:00+00:00,U1,1,2026-01-01 00:00:00+00:00,3.77
2026-01-01 00:21:00+00:00,U1,1,2026-01-01 00:00:00+00:00,1.2
2026-01-01 00:22:00+00:00,U1,1,2026-01-01 00:00:00+00:00,0.11
2026-01-01 00:23:00+00:00,U1,1,2026-01-01 00:00:00+00:00,0.44
2026-01-01 00:24:00+00:00,U1,1,2026-01-01 00:00:00+00:00,0.0
2026-01-01 00:25:00+00:00,U1,1,2026-01-01 00:00:00+00:00,0.0
2026-01-01 00:26:00+00:00,U1,1,2026-01-01 00:00:00+00:00,0.0
2026-01-01 00:27:00+00:00,U1,1,2026-01-01 00:00:00+00:00,0.0
2026-01-01 00:28:00+00:00,U1,1,2026-01-01 00:00:00+00:00,0.29
2026-01-01 00:29:00+00:00,U1,1,2026-01-01 00:00:00+00:00,0.44
2026-01-01 00:30:00+00:00,U1,1,2026-01-01 00:00:00+00:00,1.26
2026-01-01 00:31:00+00:00,U1,1,2026-01-01 00:00:00+00:00,3.75
2026-01-01 00:32:00+00:00,U1,1,2026-01-01 00:00:00+00:00,4.41
2026-01-01 00:33:00+00:00,U1,1,2026-01-01 00:00:00+00:00,6.8
